"PrincipalComponent","VarianceProportion","VariancePercent","CumulativePercent"
"PC120",0.000505114681323846,0.0505114681323846,96.7107819399813
"PC121",0.000496203796602027,0.0496203796602027,96.7604023196415
"PC122",0.000493129492850224,0.0493129492850224,96.8097152689266
"PC123",0.000483896628374235,0.0483896628374235,96.858104931764
"PC124",0.000479604086915705,0.0479604086915705,96.9060653404556
"PC125",0.000460105671634922,0.0460105671634922,96.952075907619
"PC126",0.000457051008931001,0.0457051008931001,96.9977810085121
"PC127",0.000454497115197279,0.0454497115197279,97.0432307200319
"PC128",0.000445646022867284,0.0445646022867284,97.0877953223186
"PC129",0.00043952984561822,0.043952984561822,97.1317483068804
"PC130",0.0004339924563844,0.04339924563844,97.1751475525189
"PC131",0.0004296917108115,0.04296917108115,97.2181167236
"PC132",0.000425014091256885,0.0425014091256885,97.2606181327257
"PC133",0.000418437588759867,0.0418437588759867,97.3024618916017
"PC134",0.000413516757501328,0.0413516757501328,97.3438135673518
"PC135",0.000405459755460654,0.0405459755460654,97.3843595428979
"PC136",0.000399063955568801,0.0399063955568801,97.4242659384548
"PC137",0.000394399535601997,0.0394399535601997,97.463705892015
"PC138",0.000386824209732148,0.0386824209732148,97.5023883129882
"PC139",0.000378791167434388,0.0378791167434388,97.5402674297316
"PC140",0.000377203883742547,0.0377203883742547,97.5779878181059
"PC141",0.000372363042793285,0.0372363042793285,97.6152241223852
"PC142",0.000369649244631643,0.0369649244631643,97.6521890468484
"PC143",0.000366662991144836,0.0366662991144836,97.6888553459629
"PC144",0.000356152075202202,0.0356152075202202,97.7244705534831
"PC145",0.000351284955621778,0.0351284955621778,97.7595990490453
"PC146",0.00034846938686623,0.034846938686623,97.7944459877319
"PC147",0.000343299980406908,0.0343299980406908,97.8287759857726
"PC148",0.000338441663514671,0.0338441663514671,97.862620152124
"PC149",0.000335147368526598,0.0335147368526598,97.8961348889767
"PC150",0.000332402915441168,0.0332402915441168,97.9293751805208
"PC151",0.000328108259531025,0.0328108259531025,97.9621860064739
"PC152",0.000323224833038361,0.0323224833038361,97.9945084897778
"PC153",0.000316865792965899,0.0316865792965899,98.0261950690743
"PC154",0.00031514444861153,0.031514444861153,98.0577095139355
"PC155",0.00030398977335383,0.030398977335383,98.0881084912709
"PC156",0.000303429789542338,0.0303429789542338,98.1184514702251
"PC157",0.000299555794863017,0.0299555794863017,98.1484070497114
"PC158",0.000294899129598126,0.0294899129598126,98.1778969626712
"PC159",0.000291388877942862,0.0291388877942862,98.2070358504655
"PC160",0.000284721620198169,0.0284721620198169,98.2355080124853
"PC161",0.000280145821863936,0.0280145821863936,98.2635225946717
"PC162",0.000278490949973206,0.0278490949973206,98.291371689669
"PC163",0.0002762089585109,0.02762089585109,98.3189925855201
"PC164",0.000271470723690137,0.0271470723690137,98.3461396578892
"PC165",0.000269472456922447,0.0269472456922447,98.3730869035814
"PC166",0.000266677492522794,0.0266677492522794,98.3997546528337
"PC167",0.000264788234964883,0.0264788234964883,98.4262334763302
"PC168",0.000256737286211565,0.0256737286211565,98.4519072049513
"PC169",0.000253927031783613,0.0253927031783613,98.4772999081297
"PC170",0.000251434670606727,0.0251434670606727,98.5024433751904
"PC171",0.000244581717786681,0.0244581717786681,98.526901546969
"PC172",0.000240760650975767,0.0240760650975767,98.5509776120666
"PC173",0.000238021456808907,0.0238021456808907,98.5747797577475
"PC174",0.000237544349070148,0.0237544349070148,98.5985341926545
"PC175",0.000232653971172064,0.0232653971172064,98.6217995897717
"PC176",0.000228459275654775,0.0228459275654775,98.6446455173372
"PC177",0.000226072104287805,0.0226072104287805,98.667252727766
"PC178",0.000224797928028516,0.0224797928028516,98.6897325205688
"PC179",0.00022098110806588,0.022098110806588,98.7118306313754
"PC180",0.000217914405746426,0.0217914405746426,98.7336220719501
"PC181",0.000214103419092399,0.0214103419092399,98.7550324138593
"PC182",0.000211427356289826,0.0211427356289826,98.7761751494883
"PC183",0.000209998344243779,0.0209998344243779,98.7971749839127
"PC184",0.000205072267951081,0.0205072267951081,98.8176822107078
"PC185",0.000203086349203963,0.0203086349203963,98.8379908456282
"PC186",0.000200407701087398,0.0200407701087398,98.8580316157369
"PC187",0.00019558816313378,0.019558816313378,98.8775904320503
"PC188",0.00019291774205672,0.019291774205672,98.8968822062559
"PC189",0.00018881288609042,0.018881288609042,98.915763494865
"PC190",0.000187997633490425,0.0187997633490425,98.934563258214
"PC191",0.000185284168234569,0.0185284168234569,98.9530916750375
"PC192",0.000181768455499802,0.0181768455499802,98.9712685205875
"PC193",0.000181009935129387,0.0181009935129387,98.9893695141004
"PC194",0.000178771444789151,0.0178771444789151,99.0072466585793
"PC195",0.000176194364068134,0.0176194364068134,99.0248660949861
"PC196",0.000169759904892335,0.0169759904892335,99.0418420854754
"PC197",0.00016847535778779,0.016847535778779,99.0586896212541
"PC198",0.000165460957125745,0.0165460957125745,99.0752357169667
"PC199",0.000164877136147858,0.0164877136147858,99.0917234305815
"PC200",0.000162692642074976,0.0162692642074976,99.107992694789
"PC201",0.000161818643061706,0.0161818643061706,99.1241745590952
"PC202",0.000159414301135746,0.0159414301135746,99.1401159892088
"PC203",0.000155184631608242,0.0155184631608242,99.1556344523696
"PC204",0.000153563179625439,0.0153563179625439,99.1709907703321
"PC205",0.000151069065181146,0.0151069065181146,99.1860976768502
"PC206",0.000149390496765287,0.0149390496765287,99.2010367265268
"PC207",0.000148769748616302,0.0148769748616302,99.2159137013884
"PC208",0.000144159036866056,0.0144159036866056,99.230329605075
"PC209",0.000142786901596276,0.0142786901596276,99.2446082952346
"PC210",0.000139992669764913,0.0139992669764913,99.2586075622111
"PC211",0.000138189364003722,0.0138189364003722,99.2724264986115
"PC212",0.000134855745899698,0.0134855745899698,99.2859120732015
"PC213",0.000134220727490821,0.0134220727490821,99.2993341459505
"PC214",0.00013084963058407,0.013084963058407,99.3124191090089
"PC215",0.000128785215080981,0.0128785215080981,99.325297630517
"PC216",0.000128105592857706,0.0128105592857706,99.3381081898028
"PC217",0.000125947743643366,0.0125947743643366,99.3507029641672
"PC218",0.000125174888805522,0.0125174888805522,99.3632204530477
"PC219",0.000123698935909777,0.0123698935909777,99.3755903466387
"PC220",0.000121394011582064,0.0121394011582064,99.3877297477969
"PC221",0.000118868959262889,0.0118868959262889,99.3996166437232
"PC222",0.000116523518614759,0.0116523518614759,99.4112689955846
"PC223",0.000115751080324078,0.0115751080324078,99.4228441036171
"PC224",0.000114186247600052,0.0114186247600052,99.4342627283771
"PC225",0.000112749064422573,0.0112749064422573,99.4455376348193
"PC226",0.000112076164927128,0.0112076164927128,99.456745251312
"PC227",0.00010997991909003,0.010997991909003,99.467743243221
"PC228",0.000108491159445767,0.0108491159445767,99.4785923591656
"PC229",0.000107780393473244,0.0107780393473244,99.4893703985129
"PC230",0.000106535048340443,0.0106535048340443,99.500023903347
"PC231",0.000104549609228768,0.0104549609228768,99.5104788642699
"PC232",0.000102321319573449,0.0102321319573449,99.5207109962272
"PC233",0.000100446344500528,0.0100446344500528,99.5307556306773
"PC234",9.93597634144665e-05,0.00993597634144665,99.5406916070187
"PC235",9.71762249347073e-05,0.00971762249347073,99.5504092295122
"PC236",9.52306562368721e-05,0.00952306562368721,99.5599322951359
"PC237",9.22413884477229e-05,0.00922413884477229,99.5691564339806
"PC238",9.14057296545764e-05,0.00914057296545764,99.5782970069461
"PC239",9.0075294583973e-05,0.0090075294583973,99.5873045364045
"PC240",8.94022004383517e-05,0.00894022004383517,99.5962447564483
"PC241",8.86114889337991e-05,0.00886114889337991,99.6051059053417
"PC242",8.68300713802638e-05,0.00868300713802638,99.6137889124797
"PC243",8.64854941867642e-05,0.00864854941867642,99.6224374618984
