ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0045165,cell fate commitment,47/2577,161/12963,0.0028520820917525345,0.01855741019266661,0.012821634484298872,LATS2/ETS2/NOTCH2/IFRD1/APC/PSEN1/KDM6B/MCL1/IL6R/RAB10/TGFBR1/RBPJ/STAT3/TCF7L2/BRAF/SOCS3/NOTCH1/KLF4/JAG1/RARA/STAT6/FGF13/CDC73/EPAS1/EXT1/SMAD1/LATS1/NR2E1/POU5F1/GCM1/SOX6/MITF/TAL1/SFRP1/ISL2/BMP2/PPARG/EDN1/TEAD3/SFRP2/TGFB1I1/GATA1/NFIB/GATA2/GDF7/FGF2/CYP26B1,47
GO:0003206,cardiac chamber morphogenesis,26/2577,77/12963,0.0029022258500036257,0.018811271418736123,0.012997031579939162,EGLN1/NOTCH2/HIF1A/TGFBR2/TGFBR1/RBPJ/NOTCH1/JAG1/SEMA3C/TPM1/NRG1/SHOX2/MYBPC3/CHD7/SMARCD3/FZD1/PKP2/BMPR2/FOXC1/BMP2/TEK/HEY1/ADAMTS1/SFRP2/RYR2/DSP,26
GO:0043062,extracellular structure organization,57/2577,203/12963,0.002904217992792622,0.018811271418736123,0.012997031579939162,CFLAR/LCP1/ATP7A/PRDM5/TGFBR1/CTSS/EXOC8/CRISPLD2/MPZL3/NOTCH1/CYP1B1/TNFRSF1A/ADAM10/MMP25/SH3PXD2B/DNAJB6/CLASP1/CSGALNACT1/ITGB3/FURIN/ADAM8/EXT1/APP/LOXL1/FLOT1/MMP9/NR2E1/RUNX1/BCL3/RB1/QSOX1/ADAMTS2/P4HA1/IMPG2/FOXC1/MMP8/BMP2/SULF2/HPN/MMP19/ADAMTS1/FAP/HMCN1/ADAMTS5/MMP1/COL4A1/SFRP2/PDGFRA/SLC39A8/COL18A1/PTX3/COL9A2/COL10A1/NID2/MMP27/COL17A1/MMP2,57
GO:0045229,external encapsulating structure organization,57/2577,203/12963,0.002904217992792622,0.018811271418736123,0.012997031579939162,CFLAR/LCP1/ATP7A/PRDM5/TGFBR1/CTSS/EXOC8/CRISPLD2/MPZL3/NOTCH1/CYP1B1/TNFRSF1A/ADAM10/MMP25/SH3PXD2B/DNAJB6/CLASP1/CSGALNACT1/ITGB3/FURIN/ADAM8/EXT1/APP/LOXL1/FLOT1/MMP9/NR2E1/RUNX1/BCL3/RB1/QSOX1/ADAMTS2/P4HA1/IMPG2/FOXC1/MMP8/BMP2/SULF2/HPN/MMP19/ADAMTS1/FAP/HMCN1/ADAMTS5/MMP1/COL4A1/SFRP2/PDGFRA/SLC39A8/COL18A1/PTX3/COL9A2/COL10A1/NID2/MMP27/COL17A1/MMP2,57
GO:0051495,positive regulation of cytoskeleton organization,46/2577,157/12963,0.00290501417322816,0.018811271418736123,0.012997031579939162,CLIP1/VPS4B/F2RL1/TGFBR1/BRAF/RICTOR/PPM1F/CDC42EP3/HCK/CDC42EP4/ROCK2/GRB2/SPAST/PAK1/GPR65/CDK5R1/VASP/KATNBL1/TENM1/CLASP1/PLEK/WASHC2C/FMN1/PXN/GSN/WASF3/TPM1/WASF2/ADD3/HSPA1A/NCKAP1/NCK2/FES/LPAR1/WASF1/CDC42EP2/MYLK3/GPSM2/SFRP1/CRACD/CTTN/PRKCE/EDN1/VIL1/FERMT2/OCLN,46
GO:0002285,lymphocyte activation involved in immune response,52/2577,182/12963,0.0029185762745933034,0.018876485546322957,0.013042089144461892,TLR4/BCL6/PTPRC/NFKBIZ/CR1/DOCK11/NOTCH2/SLC15A4/RC3H1/CD46/F2RL1/KMT5B/PSEN1/IL6R/LCP1/ATP7A/STAT3/IL4R/IL18R1/SOCS3/SLC11A1/RAB27A/JUNB/APBB1IP/CLEC4E/CLEC4D/NLRP3/LIG4/PLCL2/HLX/RARA/NBN/STAT6/CEACAM1/ICAM1/TNFSF4/JAK3/FCGR3A/SPI1/GAPT/ZBTB7B/BCL3/IL18/FGL2/SOCS5/SEMA4A/RIPK2/ANXA1/ENTPD7/FCER1G/IL27/IL10,52
GO:0031331,positive regulation of cellular catabolic process,80/2577,302/12963,0.0029367610030494942,0.018971405906199064,0.0131076712567725,RALB/MEFV/ZFP36L1/LRRK2/TUT7/C9orf72/HIF1A/ADAM9/RC3H1/WAC/PSEN1/ABHD5/PIK3CB/GSK3B/SMCR8/AGO2/SH3GLB1/ROCK1/IL1B/SNX18/IRS2/ZFP36/DCP2/PAN3/PLIN5/YTHDF3/PRKCD/ST20/GNAI3/ITCH/CAMKK2/ATF6/ROCK2/SPTLC1/RB1CC1/SNX30/PRKAA1/CPEB3/TBK1/FOXO3/TRIM23/SPTLC2/NRDC/LAPTM5/NOD2/FURIN/PATL1/DAPK1/ADAM8/TRIM8/SESN3/APP/KAT2B/TRIM58/TLR9/TRIM22/BNIP3L/PINK1/ULK1/SNCA/TOB1/DTX3L/TRIM6/FBXO7/ZFP36L2/ZC3HAV1/TRIM34/RIPK2/ABCA2/MIR23A/PIP4K2A/ELAPOR1/ADCY10/MIR27A/SLC35D3/RFPL2/TRIM71/ADRA2A/RNF152/SNX7,80
GO:0048232,male gamete generation,102/2577,399/12963,0.0029563720970209656,0.019074330069396343,0.013178783334719637,SSH2/AGO4/BCL6/MAK/LRRK2/PIAS1/PROK2/UBR2/QKI/LIMK2/IGF2R/ACOX1/ABHD2/SRPK1/HERC4/BMAL1/VPS13B/ARID4A/ARID4B/UBE2B/GALNT3/SLCO4C1/RGS2/NR2C2/AFF4/RFX2/H3-3B/NOTCH1/EIF4G3/PHC2/SETX/C3orf62/KDM3A/SYCP2/CFAP58/TDRD9/ROPN1L/NME8/SLC26A8/TMF1/INHBB/TESK2/AGFG1/XRN2/H3-3A/HORMAD1/PAIP2/SPATA6/SLC9A8/IFT56/SEPTIN7/TSNAX/ZMYND15/YBX3/SKIL/ATP2B4/ZFX/SIAH1/SPDYA/TESMIN/GARIN1A/TDRD7/RB1/MERTK/FAM209A/MFSD14A/ADAMTS2/OSBP2/ZBTB16/FNDC3A/DRC7/DNAJA1/CCNI/ADGRG2/CNR1/SLC2A14/TMEM119/CFAP97D1/IQCN/CCDC62/HOXA9/H1-6/BCL2L1/DMRTC2/PIWIL4/SEMG1/TXNDC2/KIT/TDRP/PRKG1/NKAPL/ADCY10/DUSP13B/SLC22A14/PCYT1B/ARMC12/VCX/ATP1A4/SPOCD1/NECTIN2/KLC3/CYP26B1,102
GO:0035282,segmentation,22/2577,62/12963,0.0029668044365382513,0.019074330069396343,0.013178783334719637,EP300/PSEN1/BASP1/RBPJ/ABI1/NOTCH1/ALDH1A2/LRP6/SEMA3C/MED12/FRS2/MIB1/PLXNA2/PCSK6/TDRD7/MAFB/FZD5/FOXC1/SFRP1/SFRP2/LHX1/IRX3,22
GO:0045921,positive regulation of exocytosis,22/2577,62/12963,0.0029668044365382513,0.019074330069396343,0.013178783334719637,SDCBP/GAB2/VPS4B/F2RL1/RAB3D/RAB5A/STXBP5/IL4R/ITGAM/RAB7A/PTAFR/RAB27A/SYK/FGR/CLASP1/CD177/ITGB2/RAB27B/SNCA/SYTL4/GATA1/GATA2,22
